customer_id,territory_id,segment,age_alicorp,has_credit_line,has_perfect_customer,has_marketing_impulse,target
1,T1,S3,9,1,0,1,1
2,T2,S3,0,0,1,1,0
3,T1,S3,4,1,0,0,0
4,T1,S3,2,0,1,0,0
5,T1,S3,2,0,1,1,0
6,T3,S3,0,0,0,1,0
7,T3,S3,9,0,1,0,0
8,T1,S3,0,0,0,0,0
9,T3,S3,8,0,0,0,0
10,T3,S3,,1,0,0,0
11,T3,S3,2,0,1,0,0
12,T1,S3,8,1,1,1,1
13,T1,S3,1,1,0,1,0
14,T1,S3,,1,1,1,0
15,T3,S3,4,0,1,1,1
16,T1,S3,3,1,0,0,0
17,T3,S3,9,1,1,0,0
18,T3,S3,0,0,0,1,0
19,T1,S3,7,0,0,1,0
20,T4,S3,5,1,0,1,0
21,T3,S3,2,0,0,0,0
22,T3,S3,6,1,0,1,0
23,T1,S6,1,1,0,0,0
24,T1,S3,0,0,0,0,0
25,T1,S3,10,0,0,1,0
26,T5,S6,3,0,0,1,0
27,T5,S3,9,1,0,0,1
28,T1,S3,6,1,0,0,1
29,T1,S6,5,1,1,0,0
30,T1,S3,0,0,0,0,0
31,T3,S6,6,0,0,0,0
32,T1,S3,1,0,1,0,0
33,T3,S3,9,0,0,0,0
34,T4,S3,2,0,0,0,0
35,T3,S3,3,1,1,1,0
36,T4,S3,0,0,0,0,0
37,T1,S6,8,0,0,0,0
38,T3,S3,4,0,0,0,0
39,T3,S3,1,1,0,0,0
40,T1,S3,0,1,0,0,0
41,T1,S3,1,0,1,0,0
42,T1,S3,9,0,0,1,0
43,T3,S3,3,1,0,1,1
44,T1,S3,7,0,0,0,1
45,T1,S3,9,0,0,0,0
46,T1,S3,,1,1,0,1
47,T1,S3,3,1,1,0,0
48,T1,S0,6,0,1,0,0
49,T3,S3,5,1,0,0,0
50,T4,S3,0,0,0,0,1
51,T3,S3,0,1,0,0,0
52,T1,S3,10,1,0,0,1
53,T3,S3,8,0,0,1,1
54,T1,S3,10,0,0,1,0
55,T1,S6,10,1,0,0,1
56,T1,S3,1,0,0,0,0
57,T4,S3,6,1,0,1,0
58,T1,S3,10,1,1,0,0
59,T1,S3,5,0,0,0,0
60,T4,S3,6,1,0,0,0
61,T1,S3,5,1,0,1,0
62,T3,S3,4,1,0,0,0
63,T1,S3,7,1,1,1,0
64,T1,S3,0,1,1,0,0
65,T1,S3,8,1,0,0,0
66,T1,S3,3,1,0,0,0
67,T1,S3,7,0,0,1,0
68,T1,S3,6,1,1,0,0
69,T1,S3,8,1,0,0,0
70,T1,S3,0,0,0,0,0
71,T2,S3,5,0,0,1,1
72,T1,S3,6,1,0,1,0
73,T1,S3,6,1,0,0,0
74,T1,S3,,0,0,0,0
75,T1,S3,10,0,0,0,0
76,T1,S3,8,0,0,0,0
77,T5,S3,5,0,0,1,0
78,T5,S3,7,0,0,0,0
79,T4,S6,5,1,0,0,0
80,T3,S3,9,1,0,0,0
81,T3,S3,9,1,0,0,0
82,T1,S3,8,1,1,1,0
83,T3,S3,2,1,1,0,0
84,T5,S3,7,0,1,0,0
85,T1,S3,7,0,1,1,0
86,T1,S6,9,1,0,0,0
87,T1,S3,3,1,0,0,0
88,T3,S3,6,1,1,0,0
89,T1,S3,0,0,0,0,0
90,T1,S3,8,1,1,1,0
91,T3,S3,,0,0,0,0
92,T4,S3,1,1,0,1,0
93,T4,S3,2,1,0,1,0
94,T1,S3,8,0,0,1,1
95,T1,S3,1,1,0,1,1
96,T1,S3,1,1,1,1,0
97,T3,S3,6,1,0,1,1
98,T2,S6,2,1,0,0,0
99,T3,S3,3,0,0,1,0
100,T3,S6,6,1,1,0,0
101,T4,S3,0,1,0,0,0
102,T1,S3,5,0,1,0,1
103,T1,S3,2,0,0,0,0
104,T5,S3,10,1,0,0,0
105,T1,S3,5,0,1,0,0
106,T1,S3,5,0,0,0,0
107,T3,S3,4,0,0,1,0
108,T3,S3,7,1,1,0,0
109,T5,S3,8,1,0,1,0
110,T4,S3,7,1,0,0,0
111,T3,S3,,1,0,0,0
112,T4,S3,7,0,1,1,0
113,T5,S3,0,0,1,0,0
114,T3,S3,2,1,1,0,0
115,T3,S3,7,0,1,1,0
116,T1,S3,10,0,0,0,0
117,T1,S3,4,1,0,1,0
118,T3,S3,7,1,1,1,0
119,T5,S3,8,1,0,1,0
120,T3,S3,4,1,0,0,0
121,T3,S3,9,0,0,0,0
122,T2,S3,1,0,1,0,0
123,T1,S3,3,0,0,1,0
124,T1,S3,2,1,1,1,0
125,T2,S3,5,0,0,0,0
126,T3,S6,9,1,0,0,0
127,T1,S3,5,1,0,0,0
128,T3,S3,0,1,0,0,1
129,T1,S3,4,0,0,0,0
130,T1,S3,9,1,0,0,0
131,T1,S3,6,1,0,1,0
132,T1,S3,,0,0,1,0
133,T1,S3,9,0,1,1,0
134,T1,S3,1,0,1,0,0
135,T5,S3,0,1,0,0,0
136,T1,S3,1,0,1,1,0
137,T5,S3,6,1,0,1,0
138,T1,S3,10,1,1,0,0
139,T1,S3,3,0,0,0,0
140,T1,S3,2,1,0,1,0
141,T1,S3,1,0,0,1,0
142,T3,S3,4,0,0,0,0
143,T2,S3,3,0,0,0,0
144,T1,S3,5,0,0,1,0
145,T1,S3,3,1,1,0,0
146,T1,S3,,1,1,1,0
147,T1,S3,2,0,1,0,0
148,T3,S3,,1,1,1,0
149,T1,S6,9,0,0,0,0
150,T5,S3,4,1,1,1,0
151,T1,S3,5,0,0,1,0
152,T4,S3,8,1,1,0,0
153,T1,S6,7,1,1,0,0
154,T1,S3,,1,0,0,0
155,T1,S3,8,1,0,0,0
156,T1,S3,,1,0,0,0
157,T1,S3,5,0,0,0,0
158,T1,S3,9,0,0,0,0
159,T1,S3,9,0,0,0,0
160,T1,S3,8,1,0,1,0
161,T3,S3,8,1,0,0,1
162,T1,S3,5,1,0,1,0
163,T3,S3,6,1,1,0,0
164,T1,S6,9,1,1,0,0
165,T1,S3,0,0,1,0,0
166,T3,S3,5,0,0,1,0
167,T1,S3,8,0,0,0,0
168,T1,S3,1,1,1,1,0
169,T1,S3,7,0,1,0,0
170,T1,S3,3,0,0,1,0
171,T1,S3,9,0,1,1,0
172,T3,S4,6,0,0,0,0
173,T1,S4,3,0,0,1,1
174,T2,S3,3,0,0,0,0
175,T1,S3,6,0,0,0,1
176,T2,S3,7,0,0,0,1
177,T1,S6,6,0,0,1,1
178,T3,S3,7,1,1,0,0
179,T4,S3,7,0,0,1,0
180,T1,S3,9,1,1,0,0
181,T1,S3,3,1,1,0,0
182,T1,S3,3,0,0,0,0
183,T1,S3,3,1,1,0,0
184,T1,S3,6,0,1,0,0
185,T5,S3,3,1,0,1,0
186,T1,S3,4,1,0,0,0
187,T1,S3,,0,1,0,0
188,T1,S3,10,0,1,1,0
189,T1,S6,5,1,1,1,0
190,T1,S3,1,1,1,0,0
191,T1,S3,0,1,0,0,0
192,T2,S3,3,1,1,1,1
193,T1,S3,3,0,0,0,1
194,T1,S3,7,1,0,0,0
195,T1,S6,10,0,0,0,0
196,T1,S3,,0,0,0,0
197,T1,S3,1,0,0,0,1
198,T1,S3,8,1,0,0,0
199,T3,S3,1,0,0,1,1
200,T2,S3,10,0,0,0,0
201,T1,S3,3,1,0,1,0
202,T5,S3,0,0,1,0,0
203,T1,S3,3,1,0,0,0
204,T1,S3,2,0,0,0,0
205,T5,S3,5,1,0,0,0
206,T1,S3,3,0,0,0,0
207,T1,S6,6,0,0,0,0
208,T1,S6,0,0,0,1,0
209,T1,S5,9,1,1,0,1
210,T3,S3,0,1,0,0,0
211,T1,S6,9,1,0,0,0
212,T1,S3,7,1,0,0,0
213,T3,S3,,1,1,0,0
214,T1,S3,10,0,1,0,0
215,T3,S3,3,1,1,0,0
216,T1,S6,3,1,0,0,0
217,T5,S6,,0,0,0,0
218,T1,S3,5,1,0,1,0
219,T3,S3,8,0,0,0,1
220,T1,S3,2,0,0,0,0
221,T1,S3,3,1,1,1,0
222,T1,S3,2,0,0,0,1
223,T3,S3,10,0,0,0,0
224,T3,S3,5,0,0,0,0
225,T3,S3,9,1,0,0,0
226,T1,S3,9,0,1,0,0
227,T1,S3,0,1,1,0,0
228,T1,S6,9,0,0,0,0
229,T3,S3,6,1,1,1,0
230,T1,S3,9,1,1,1,0
231,T3,S3,1,0,0,0,1
232,T3,S3,2,1,1,1,0
233,T3,S6,,0,0,0,0
234,T3,S3,1,1,0,1,0
235,T3,S3,6,0,1,0,0
236,T1,S3,6,0,0,0,0
237,T1,S3,7,1,0,0,0
238,T3,S6,2,1,0,1,1
239,T3,S3,4,1,1,1,0
240,T1,S6,4,1,0,1,0
241,T3,S3,8,1,0,0,0
242,T1,S3,6,1,0,0,0
243,T1,S3,3,1,0,0,1
244,T1,S3,5,0,0,1,0
245,T1,S3,6,0,0,1,0
246,T1,S3,3,1,1,0,0
247,T1,S3,,1,0,1,0
248,T3,S3,7,0,1,0,0
249,T1,S3,2,1,1,1,0
250,T4,S3,4,0,0,0,0
251,T4,S3,6,1,1,1,1
252,T1,S3,4,0,0,0,0
253,T1,S6,7,0,0,0,0
254,T1,S3,6,0,0,0,0
255,T1,S3,2,0,1,0,0
256,T1,S3,7,1,1,1,1
257,T1,S6,0,0,0,1,0
258,T1,S3,6,0,0,1,0
259,T3,S3,7,0,0,0,0
260,T3,S3,10,1,1,0,1
261,T1,S3,10,1,0,0,0
262,T1,S3,2,0,1,1,0
263,T1,S6,2,1,0,0,0
264,T1,S3,2,1,0,0,0
265,T1,S3,,1,0,1,0
266,T1,S3,2,0,0,0,0
267,T1,S3,8,0,1,1,0
268,T3,S3,10,0,0,0,0
269,T6,S6,10,1,0,1,0
270,T1,S3,2,1,1,1,0
271,T3,S4,4,1,0,0,0
272,T6,S3,3,0,0,0,0
273,T1,S3,4,0,1,0,0
274,T1,S6,0,1,0,0,0
275,T5,S6,4,0,0,1,0
276,T5,S3,3,0,0,0,0
277,T5,S3,3,1,0,1,0
278,T1,S3,9,1,0,1,0
279,T6,S3,2,1,1,1,0
280,T3,S3,3,0,0,0,1
281,T1,S3,8,0,0,0,0
282,T1,S3,10,1,0,0,0
283,T3,S3,10,1,1,0,0
284,T3,S3,1,1,0,0,1
285,T1,S3,2,1,0,1,0
286,T5,S3,0,1,1,0,0
287,T5,S3,4,0,0,0,0
288,T5,S4,1,0,0,1,0
289,T3,S3,9,0,0,1,0
290,T4,S6,7,0,0,0,0
291,T1,S3,9,1,0,0,0
292,T5,S3,4,1,1,0,0
293,T1,S3,2,1,0,0,0
294,T1,S3,5,1,0,0,0
295,T1,S3,2,0,0,0,1
296,T1,S3,4,0,0,1,0
297,T2,S3,4,1,1,1,0
298,T5,S3,,0,0,0,0
299,T1,S3,10,1,1,0,0
300,T1,S3,8,1,0,0,1
301,T5,S3,1,1,0,0,0
302,T1,S3,1,1,1,0,0
303,T1,S3,1,0,0,1,0
304,T1,S6,1,1,1,0,0
305,T1,S3,1,1,0,0,0
306,T1,S3,,1,0,0,0
307,T5,S4,1,0,0,0,0
308,T6,S6,4,0,0,0,0
309,T1,S3,3,0,0,0,0
310,T1,S3,0,1,1,0,0
311,T6,S3,6,0,1,1,0
312,T1,S6,9,0,0,0,1
313,T1,S3,3,0,0,0,1
314,T1,S3,1,1,1,0,0
315,T3,S3,3,1,0,0,0
316,T1,S4,3,1,1,1,0
317,T1,S6,4,1,1,0,1
318,T4,S3,3,0,1,0,0
319,T3,S3,10,0,1,0,0
320,T4,S3,8,1,1,1,0
321,T1,S3,1,0,0,0,1
322,T1,S6,5,0,0,1,0
323,T1,S3,6,0,0,1,0
324,T1,S3,3,0,0,0,1
325,T3,S3,2,1,0,0,0
326,T1,S6,7,0,0,0,0
327,T3,S3,9,1,0,0,0
328,T3,S6,9,0,0,0,0
329,T3,S6,6,1,1,0,0
330,T3,S6,6,1,0,0,0
331,T1,S3,3,1,0,0,1
332,T1,S3,4,0,0,1,0
333,T5,S3,3,0,0,1,1
334,T3,S3,5,1,0,0,0
335,T3,S3,2,1,1,1,0
336,T1,S3,10,0,0,1,0
337,T1,S3,3,0,0,1,1
338,T3,S3,7,1,0,1,0
339,T3,S3,9,0,1,0,0
340,T3,S3,3,1,0,0,0
341,T3,S3,3,1,0,0,0
342,T1,S3,8,0,1,1,0
343,T1,S3,4,1,1,1,0
344,T3,S6,7,1,0,0,0
345,T1,S3,9,1,0,0,0
346,T1,S3,3,0,0,0,0
347,T4,S3,10,0,0,1,0
348,T1,S3,8,0,0,0,1
349,T3,S3,6,1,0,0,0
350,T1,S3,2,0,1,0,0
351,T1,S3,10,1,0,0,0
352,T1,S3,10,1,0,0,1
353,T1,S3,7,0,1,0,0
354,T3,S3,4,1,0,0,0
355,T6,S3,0,1,1,1,1
356,T1,S3,3,0,0,1,0
357,T1,S3,3,0,0,0,0
358,T1,S3,0,1,0,0,1
359,T1,S6,8,0,0,0,0
